city,lat,lng,country,iso2,admin_name,capital,population,population_proper,source
Wattleglen,-37.6667,145.1833,Australia,AU,Victoria,,1961,1911,https://simplemaps.com/data/au-cities
Bourke,-30.1,145.9333,Australia,AU,New South Wales,,1909,1699,https://simplemaps.com/data/au-cities
Mulwala,-35.9817,146.0011,Australia,AU,New South Wales,,1904,1904,https://simplemaps.com/data/au-cities
Windsor,-33.6114,150.8133,Australia,AU,New South Wales,,1891,1891,https://simplemaps.com/data/au-cities
Nathalia,-36.0583,145.204,Australia,AU,Victoria,,1880,1880,https://simplemaps.com/data/au-cities
Oakdale,-34.0817,150.5011,Australia,AU,New South Wales,,1843,1843,https://simplemaps.com/data/au-cities
Cobden,-38.329,143.071,Australia,AU,Victoria,,1839,1804,https://simplemaps.com/data/au-cities
Queenstown,-42.0667,145.55,Australia,AU,Tasmania,,1790,1790,https://simplemaps.com/data/au-cities
Denman,-32.3817,150.6844,Australia,AU,New South Wales,,1789,1789,https://simplemaps.com/data/au-cities
Batehaven,-35.7317,150.2011,Australia,AU,New South Wales,,1776,1776,https://simplemaps.com/data/au-cities
Brunswick Heads,-28.5586,153.5447,Australia,AU,New South Wales,,1737,1737,https://simplemaps.com/data/au-cities
Tathra,-36.7317,149.9844,Australia,AU,New South Wales,,1675,1527,https://simplemaps.com/data/au-cities
Yarragon,-38.2,146.067,Australia,AU,Victoria,,1650,1650,https://simplemaps.com/data/au-cities
Yaroomba,-26.55,153.1,Australia,AU,Queensland,,1623,1623,https://simplemaps.com/data/au-cities
Curlewis,-38.1833,144.5,Australia,AU,Victoria,,1551,1551,https://simplemaps.com/data/au-cities
Yallourn North,-38.1667,146.367,Australia,AU,Victoria,,1545,1511,https://simplemaps.com/data/au-cities
Drummond Cove,-28.673,114.613,Australia,AU,Western Australia,,1477,1477,https://simplemaps.com/data/au-cities
Surfside,-35.695,150.1997,Australia,AU,New South Wales,,1371,1371,https://simplemaps.com/data/au-cities
Evandale,-41.5833,147.2333,Australia,AU,Tasmania,,1345,1265,https://simplemaps.com/data/au-cities
Kurrajong Heights,-33.55,150.6667,Australia,AU,New South Wales,,1342,1255,https://simplemaps.com/data/au-cities
Seven Mile Beach,-42.8586,147.5053,Australia,AU,Tasmania,,1286,1286,https://simplemaps.com/data/au-cities
San Remo,-38.5167,145.3667,Australia,AU,Victoria,,1254,1254,https://simplemaps.com/data/au-cities
Valley Heights,-33.7,150.5833,Australia,AU,New South Wales,,1211,1188,https://simplemaps.com/data/au-cities
Greenwell Point,-34.915,150.7344,Australia,AU,New South Wales,,1209,1209,https://simplemaps.com/data/au-cities
Innisfail,-17.5238,146.0311,Australia,AU,Queensland,,1145,1091,https://simplemaps.com/data/au-cities
Wahgunyah,-36,146.3833,Australia,AU,Victoria,,1098,1061,https://simplemaps.com/data/au-cities
Tinonee,-31.9483,152.4178,Australia,AU,New South Wales,,1092,1092,https://simplemaps.com/data/au-cities
Mollymook,-35.3372,150.4667,Australia,AU,New South Wales,,1083,1083,https://simplemaps.com/data/au-cities
