city,lat,lng,country,iso2,admin_name,capital,population,population_proper,source
Narrabri,-30.3317,149.7678,Australia,AU,New South Wales,,7606,7327,https://simplemaps.com/data/au-cities
Clifton Springs,-38.15,144.5667,Australia,AU,Victoria,,7519,7519,https://simplemaps.com/data/au-cities
Bargara,-24.8205,152.4625,Australia,AU,Queensland,,7485,7485,https://simplemaps.com/data/au-cities
Kingscliff,-28.2617,153.5769,Australia,AU,New South Wales,,7464,7464,https://simplemaps.com/data/au-cities
Healesville,-37.6561,145.5139,Australia,AU,Victoria,,7461,7461,https://simplemaps.com/data/au-cities
Fremantle,-32.0542,115.7476,Australia,AU,Western Australia,,7459,7459,https://simplemaps.com/data/au-cities
Blaxland,-33.75,150.6167,Australia,AU,New South Wales,,7451,7434,https://simplemaps.com/data/au-cities
Kyabram,-36.3167,145.05,Australia,AU,Victoria,,7331,7331,https://simplemaps.com/data/au-cities
Sanctuary Point,-35.1036,150.6267,Australia,AU,New South Wales,,7225,7225,https://simplemaps.com/data/au-cities
Merrimac,-28.05,153.3667,Australia,AU,New South Wales,,7071,7071,https://simplemaps.com/data/au-cities
Murwillumbah,-28.3333,153.3833,Australia,AU,New South Wales,,7032,7032,https://simplemaps.com/data/au-cities
Urraween,-25.2955,152.8219,Australia,AU,Queensland,,6969,6969,https://simplemaps.com/data/au-cities
Kyneton,-37.247,144.455,Australia,AU,Victoria,,6951,6951,https://simplemaps.com/data/au-cities
Cootamundra,-34.6483,148.0344,Australia,AU,New South Wales,,6782,6782,https://simplemaps.com/data/au-cities
Castlemaine,-37.0636,144.2172,Australia,AU,Victoria,,6757,6757,https://simplemaps.com/data/au-cities
Bomaderry,-34.848,150.605,Australia,AU,New South Wales,,6661,6661,https://simplemaps.com/data/au-cities
Helensburgh,-34.1889,150.9811,Australia,AU,New South Wales,,6576,6576,https://simplemaps.com/data/au-cities
Port Augusta,-32.4925,137.7658,Australia,AU,South Australia,,6562,6562,https://simplemaps.com/data/au-cities
Yass,-34.8203,148.9136,Australia,AU,New South Wales,,6506,6506,https://simplemaps.com/data/au-cities
Strathalbyn,-35.2667,138.9,Australia,AU,South Australia,,6504,6504,https://simplemaps.com/data/au-cities
Burpengary,-27.1442,153,Australia,AU,Queensland,,6433,6433,https://simplemaps.com/data/au-cities
Waterford,-27.6906,153.1332,Australia,AU,Queensland,,6431,6431,https://simplemaps.com/data/au-cities
Lennox Head,-28.7983,153.5844,Australia,AU,New South Wales,,6407,6407,https://simplemaps.com/data/au-cities
Seymour,-37.03,145.13,Australia,AU,Victoria,,6327,6327,https://simplemaps.com/data/au-cities
Nambucca Heads,-30.6414,152.9906,Australia,AU,New South Wales,,6327,6327,https://simplemaps.com/data/au-cities
Nuriootpa,-34.4667,138.9833,Australia,AU,South Australia,,6314,6314,https://simplemaps.com/data/au-cities
Wauchope,-31.45,152.7333,Australia,AU,New South Wales,,6312,6312,https://simplemaps.com/data/au-cities
Tumut,-35.3039,148.2233,Australia,AU,New South Wales,,6230,6230,https://simplemaps.com/data/au-cities
Tuncurry,-32.175,152.4989,Australia,AU,New South Wales,,6186,6186,https://simplemaps.com/data/au-cities
Glen Innes,-29.7317,151.7511,Australia,AU,New South Wales,,6155,6155,https://simplemaps.com/data/au-cities
Yamba,-29.44,153.3594,Australia,AU,New South Wales,,6076,6076,https://simplemaps.com/data/au-cities
Lakes Entrance,-37.8667,147.9833,Australia,AU,Victoria,,6071,6071,https://simplemaps.com/data/au-cities
Kurri Kurri,-32.8167,151.4833,Australia,AU,New South Wales,,6044,6044,https://simplemaps.com/data/au-cities
Wynyard,-41,145.7167,Australia,AU,Tasmania,,6001,6001,https://simplemaps.com/data/au-cities
North Mackay,-21.1216,149.1783,Australia,AU,Queensland,,5933,5933,https://simplemaps.com/data/au-cities
Dromana,-38.338,144.965,Australia,AU,Victoria,,5803,5803,https://simplemaps.com/data/au-cities
Mittagong,-34.45,150.45,Australia,AU,New South Wales,,5767,5767,https://simplemaps.com/data/au-cities
Alstonville,-28.8317,153.4344,Australia,AU,New South Wales,,5739,5739,https://simplemaps.com/data/au-cities
Stawell,-37.05,142.7667,Australia,AU,Victoria,,5736,5736,https://simplemaps.com/data/au-cities
Cannonvale,-20.2787,148.6994,Australia,AU,Queensland,,5716,5716,https://simplemaps.com/data/au-cities
Point Vernon,-25.2538,152.8177,Australia,AU,Queensland,,5699,5699,https://simplemaps.com/data/au-cities
Leongatha,-38.4833,145.95,Australia,AU,Victoria,,5654,5654,https://simplemaps.com/data/au-cities
Scone,-32.0483,150.8678,Australia,AU,New South Wales,,5624,5624,https://simplemaps.com/data/au-cities
Whittlesea,-37.5139,145.114,Australia,AU,Victoria,,5611,5611,https://simplemaps.com/data/au-cities
Corowa,-35.9942,146.3844,Australia,AU,New South Wales,,5482,5482,https://simplemaps.com/data/au-cities
Richmond,-33.5983,150.7511,Australia,AU,New South Wales,,5482,5418,https://simplemaps.com/data/au-cities
Cooranbong,-33.074,151.451,Australia,AU,New South Wales,,5449,5449,https://simplemaps.com/data/au-cities
Inverloch,-38.6334,145.7278,Australia,AU,Victoria,,5437,5437,https://simplemaps.com/data/au-cities
New Norfolk,-42.7828,147.0594,Australia,AU,Tasmania,,5432,5432,https://simplemaps.com/data/au-cities
Wingham,-31.85,152.367,Australia,AU,New South Wales,,5374,5374,https://simplemaps.com/data/au-cities
Woolgoolga,-30.115,153.2011,Australia,AU,New South Wales,,5290,5290,https://simplemaps.com/data/au-cities
Maffra,-37.95,146.983,Australia,AU,Victoria,,5280,5280,https://simplemaps.com/data/au-cities
Lithgow,-33.4833,150.15,Australia,AU,New South Wales,,5201,4956,https://simplemaps.com/data/au-cities
Millicent,-37.5967,140.3524,Australia,AU,South Australia,,5109,5109,https://simplemaps.com/data/au-cities
