PFI,UFI,FTYPE_CODE,NAME,NFEAT_ID,NUNIQ_LOC,STATE,FQID,CRDATE_PFI,SUPER_PFI,CRDATE_UFI,x_centroid,y_centroid
1.33157e+07,5.0989e+07,locality,BEARII,12701,BEARII,VIC,4897,2008-07-17,9.91026e+06,2016-07-06,145.34521433337386,-35.885767634467783
1.33157e+07,5.0989e+07,locality,MULLENGANDRA (NSW),14968,MULLENGANDRA (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.18218327165528,-35.897247883446575
1.33157e+07,5.0989e+07,locality,BAROOGA (NSW),14969,BAROOGA (NSW),NSW,5684,2008-07-17,0,2016-07-06,145.70969799090491,-35.900739482758006
1.33157e+07,5.0989e+07,locality,JINGELLIC (NSW),14970,JINGELLIC (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.69406293310948,-35.904683680057126
4.16196e+06,5.0989e+07,locality,LAKE MERAN,10286,LAKE MERAN,VIC,4897,2002-01-14,0,2016-07-06,143.79364558621461,-35.894696425370249
4.16196e+06,5.0989e+07,locality,APPIN,11862,APPIN,VIC,4897,2002-01-14,0,2016-07-06,143.86841472454273,-35.879569817006377
4.16196e+06,5.0989e+07,locality,HORFIELD,11863,HORFIELD,VIC,4897,2002-01-14,0,2016-07-06,144.21351306026105,-35.891543474901859
4.16196e+06,5.0989e+07,locality,MACORNA,1371,MACORNA,VIC,4897,2002-01-14,0,2016-07-06,143.99498700186717,-35.925536381702393
1.33157e+07,5.0989e+07,locality,COBRAM,1158,COBRAM,VIC,4897,2008-07-17,9.91027e+06,2016-07-06,145.64089413580842,-35.934062281352951
1.33157e+07,5.0989e+07,locality,GLENELLEN (NSW),14971,GLENELLEN (NSW),NSW,5684,2008-07-17,0,2016-07-06,146.90373324805032,-35.884678448457883
1.33157e+07,5.0989e+07,locality,JERANGLE (NSW),22375,JERANGLE (NSW),NSW,5684,2008-07-17,0,2016-07-06,149.36166557157600,-35.895918368853970
1.33157e+07,5.0989e+07,locality,MARAGLE (NSW),14972,MARAGLE (NSW),NSW,5684,2008-07-17,0,2016-07-06,148.19116495263350,-35.913990058867661
4.16196e+06,5.0989e+07,locality,MINCHA WEST,11864,MINCHA WEST,VIC,4897,2002-01-14,0,2016-07-06,144.12918465712028,-35.914295440040689
1.33157e+07,5.0989e+07,locality,MOAMA (NSW),14973,MOAMA (NSW),NSW,5684,2008-07-17,0,2016-07-06,144.75133907164349,-36.006862060836099
1.3857e+07,5.0989e+07,locality,SHAUGH (SA),18318,SHAUGH (SA),SA,5734,2009-05-14,0,2016-07-06,140.85160778102872,-35.928825369718055
1.33157e+07,5.0989e+07,locality,REDLANDS (NSW),14974,REDLANDS (NSW),NSW,5684,2008-07-17,0,2016-07-06,146.33499844315787,-35.925568089388840
1.33157e+07,5.0989e+07,locality,TALMALMO (NSW),14975,TALMALMO (NSW),NSW,5684,2008-07-17,0,2016-07-06,147.43871914591034,-35.939710868114915
4.16185e+06,5.09893e+07,locality,AUBREY,11929,AUBREY,VIC,4897,2002-01-14,0,2016-07-06,142.21815738042557,-36.226207836776986
4.16185e+06,5.09893e+07,locality,CANNUM,11931,CANNUM,VIC,4897,2002-01-14,0,2016-07-06,142.26991060562591,-36.264209289852431
1.38571e+07,5.09893e+07,locality,WIRREGA (SA),18325,WIRREGA (SA),SA,5734,2009-05-14,0,2016-07-06,140.57808519718611,-36.202689848256497
4.16185e+06,5.09893e+07,locality,WYCHITELLA,1655,WYCHITELLA,VIC,4897,2002-01-14,0,2016-07-06,143.61749377781413,-36.266950671950234
9.91032e+06,5.09893e+07,locality,LAKE ROWAN,12736,LAKE ROWAN,VIC,4897,2002-01-30,0,2016-07-06,145.98493137147025,-36.260912058743614
1.33157e+07,5.09893e+07,locality,GLEN FERGUS (NSW),22405,GLEN FERGUS (NSW),NSW,5684,2008-07-17,0,2016-07-06,149.24737116739271,-36.215319634303938
1.38571e+07,5.09893e+07,locality,SERVICETON,1535,SERVICETON,VIC,4897,2009-05-14,1.26134e+07,2016-07-06,141.01827382354645,-36.376463074126669
1.33157e+07,5.09893e+07,locality,INDI (NSW),15008,INDI (NSW),NSW,5684,2008-07-17,0,2016-07-06,148.05576679552365,-36.268514903982499
1.53058e+07,5.09893e+07,locality,EUROBODALLA (NSW),37116,EUROBODALLA (NSW),NSW,5817,2011-06-23,0,2016-07-06,149.95871098479913,-36.168409727722299
1.33157e+07,5.09893e+07,locality,MIDDLINGBANK (NSW),22406,MIDDLINGBANK (NSW),NSW,5684,2008-07-17,0,2016-07-06,148.81210969839529,-36.214518190688800
1.53058e+07,5.09893e+07,locality,CADGEE (NSW),37117,CADGEE (NSW),NSW,5817,2011-06-23,0,2016-07-06,149.90541196555031,-36.158370533670507
1.33157e+07,5.09893e+07,locality,DAIRYMANS PLAINS (NSW),22407,DAIRYMANS PLAINS (NSW),NSW,5684,2008-07-17,0,2016-07-06,149.05659508505832,-36.213640458938549
4.16185e+06,5.09893e+07,locality,WOOROONOOK,11932,WOOROONOOK,VIC,4897,2002-01-14,0,2016-07-06,143.20901153579734,-36.261999490620461
4.16186e+06,5.09893e+07,locality,BARRAKEE,1088,BARRAKEE,VIC,4897,2002-01-14,0,2016-07-06,143.45222677155277,-36.263635254041922
4.16186e+06,5.09893e+07,locality,JEFFCOTT NORTH,11933,JEFFCOTT NORTH,VIC,4897,2002-01-14,0,2016-07-06,143.06789014516900,-36.262859629680406
9.97174e+06,5.09893e+07,locality,KIEWA,11277,KIEWA,VIC,4712,2002-02-25,0,2016-07-06,147.00659495926391,-36.272677722228863
4.16119e+06,5.29061e+07,locality,WOODEND,855,WOODEND,VIC,4712,2002-01-14,0,2017-05-01,144.52449435935557,-37.361332539280106
