PFI,UFI,FTYPE_CODE,NAME,NFEAT_ID,NUNIQ_LOC,STATE,FQID,CRDATE_PFI,SUPER_PFI,CRDATE_UFI
4.16102e+06,5.2884e+07,locality,WOLLERT,851,WOLLERT,VIC,4712,2002-01-14,0,2017-04-21
4.16073e+06,5.09909e+07,locality,MOONEE PONDS,546,MOONEE PONDS,VIC,4712,2002-01-14,0,2016-07-06
4.161e+06,5.2884e+07,locality,MERNDA,525,MERNDA,VIC,4712,2002-01-14,0,2017-04-21
4.16074e+06,5.09909e+07,locality,PARK ORCHARDS,622,PARK ORCHARDS,VIC,4712,2002-01-14,0,2016-07-06
4.16073e+06,5.09909e+07,locality,BEREMBOKE,138,BEREMBOKE,VIC,4712,2002-01-14,0,2016-07-06
4.16173e+06,5.29352e+07,locality,BANYENA,1086,BANYENA,VIC,4897,2002-01-14,0,2017-05-08
4.16052e+06,5.09912e+07,locality,CAULFIELD EAST,213,CAULFIELD EAST,VIC,4712,2002-01-14,0,2016-07-06
4.16052e+06,5.09912e+07,locality,KALLISTA,433,KALLISTA,VIC,4712,2002-01-14,0,2016-07-06
4.16052e+06,5.09912e+07,locality,ELSTERNWICK,310,ELSTERNWICK,VIC,4712,2002-01-14,0,2016-07-06
4.16052e+06,5.09912e+07,locality,CAULFIELD,212,CAULFIELD,VIC,4712,2002-01-14,0,2016-07-06
9.97196e+06,5.09912e+07,locality,BOOLE POOLE,13209,BOOLE POOLE,VIC,4712,2002-02-25,0,2016-07-06
4.16173e+06,5.29352e+07,locality,GRE GRE NORTH,12020,GRE GRE NORTH,VIC,4897,2002-01-14,0,2017-05-08
4.16052e+06,5.09912e+07,locality,CARNEGIE,206,CARNEGIE,VIC,4712,2002-01-14,0,2016-07-06
4.16052e+06,5.09912e+07,locality,THE PATCH,771,THE PATCH,VIC,4712,2002-01-14,0,2016-07-06
4.16052e+06,5.09912e+07,locality,BRIGHTON,168,BRIGHTON,VIC,4712,2002-01-14,0,2016-07-06
4.16169e+06,5.29352e+07,locality,MOOLERR,12043,MOOLERR,VIC,4897,2002-01-14,0,2017-05-08
4.16169e+06,5.29352e+07,locality,MARNOO EAST,12046,MARNOO EAST,VIC,4897,2002-01-14,0,2017-05-08
4.1617e+06,5.29352e+07,locality,GRE GRE SOUTH,12050,GRE GRE SOUTH,VIC,4897,2002-01-14,0,2017-05-08
4.16166e+06,5.29352e+07,locality,GRE GRE,12053,GRE GRE,VIC,4897,2002-01-14,0,2017-05-08
4.1613e+06,5.09902e+07,locality,YANDOIT HILLS,12307,YANDOIT HILLS,VIC,4897,2002-01-14,0,2016-07-06
4.16002e+06,5.29471e+07,locality,GLEN ALVIE,364,GLEN ALVIE,VIC,4712,2002-01-14,0,2017-05-09
4.1613e+06,5.09902e+07,locality,LIMESTONE,12308,LIMESTONE,VIC,4897,2002-01-14,0,2016-07-06
4.1613e+06,5.09902e+07,locality,MACS COVE,12309,MACS COVE,VIC,4897,2002-01-14,0,2016-07-06
4.1613e+06,5.09902e+07,locality,STRATH CREEK,9026,STRATH CREEK,VIC,4897,2002-01-14,0,2016-07-06
4.1613e+06,5.09902e+07,locality,RHYMNEY,12310,RHYMNEY,VIC,4897,2002-01-14,0,2016-07-06
4.1613e+06,5.09902e+07,locality,GLENLYON,12311,GLENLYON,VIC,4897,2002-01-14,0,2016-07-06
4.16001e+06,5.29471e+07,locality,RYANSTON,684,RYANSTON,VIC,4712,2002-01-14,0,2017-05-09
4.16127e+06,5.09902e+07,locality,MOUNT COLE CREEK,7749,MOUNT COLE CREEK,VIC,4897,2002-01-14,0,2016-07-06
1.33159e+07,5.09902e+07,locality,EDROM (NSW),15047,EDROM (NSW),NSW,5684,2008-07-17,0,2016-07-06
4.16127e+06,5.09902e+07,locality,MORANDING,12313,MORANDING,VIC,4897,2002-01-14,0,2016-07-06
4.16136e+06,5.29467e+07,locality,KERRISDALE,1318,KERRISDALE,VIC,4897,2002-01-14,0,2017-05-09
4.16133e+06,5.29467e+07,locality,KILLINGWORTH,12281,KILLINGWORTH,VIC,4897,2002-01-14,0,2017-05-09
4.16128e+06,5.09902e+07,locality,JAMIESON,11423,JAMIESON,VIC,4897,2002-01-14,0,2016-07-06
4.16133e+06,5.29467e+07,locality,HOMEWOOD,1288,HOMEWOOD,VIC,4897,2002-01-14,0,2017-05-09
4.16128e+06,5.09902e+07,locality,LANCEFIELD,471,LANCEFIELD,VIC,4712,2002-01-14,0,2016-07-06
4.16134e+06,5.29467e+07,locality,HIGH CAMP,404,HIGH CAMP,VIC,4712,2002-01-14,0,2017-05-09
9.97186e+06,5.09902e+07,locality,CASSILIS,13140,CASSILIS,VIC,4712,2002-02-25,0,2016-07-06
9.97186e+06,5.09902e+07,locality,SWIFTS CREEK,9085,SWIFTS CREEK,VIC,4712,2002-02-25,0,2016-07-06
1.33159e+07,5.09902e+07,locality,KIAH (NSW),15048,KIAH (NSW),NSW,5684,2008-07-17,0,2016-07-06
4.16131e+06,5.29467e+07,locality,BROADFORD,1122,BROADFORD,VIC,4897,2002-01-14,0,2017-05-09
